id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
287040,290259,"#IOSTUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.00102...00967 (💰 6%)
⛔️ SL: 0.00112161
LEVERAGE: Cross 20x",f29e4a90c82fc326b9b071bbaa216a62,2026-06-01T18:30:25+00:00,2026-06-01T18:41:11.526909+00:00,213,t.me/Cryptonus_Trade
287042,290258,"#QTUMUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.874 👉... : 0.822 (💰 6%)
⛔️ SL: 0.95266
LEVERAGE: Cross 20x",b33addcc59e0548f66a4186a4d44a873,2026-06-01T18:30:24+00:00,2026-06-01T18:41:11.585379+00:00,213,t.me/Cryptonus_Trade
287044,290257,"#THETAUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.1934... 0.1818 (💰 6%)
⛔️ SL: 0.210806
LEVERAGE: Cross 20x",86499ae59ccf409ab50e0e1f9db68e8c,2026-06-01T18:30:20+00:00,2026-06-01T18:41:11.614027+00:00,213,t.me/Cryptonus_Trade
287063,290253,"#KASUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.03049 ....02866 (💰 6%)
⛔️ SL: 0.0332341
LEVERAGE: Cross 20x",d11ad799b2c3990b9af0be3528e8f33f,2026-06-01T18:30:19+00:00,2026-06-01T18:41:12.231159+00:00,213,t.me/Cryptonus_Trade
287045,290254,"#BLURUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.02147....02018 (💰 6%)
⛔️ SL: 0.0234023
LEVERAGE: Cross 20x",a9ac34c0f0148eec1411197b9c9822fd,2026-06-01T18:30:19+00:00,2026-06-01T18:41:11.616621+00:00,213,t.me/Cryptonus_Trade
287043,290255,"#ROSEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.00918....00863 (💰 6%)
⛔️ SL: 0.0100062
LEVERAGE: Cross 20x",cf3c754b49ec53c3a59817304ad6ee77,2026-06-01T18:30:19+00:00,2026-06-01T18:41:11.590263+00:00,213,t.me/Cryptonus_Trade
287039,290256,"#CFXUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.05354 ....05033 (💰 6%)
⛔️ SL: 0.0583586
LEVERAGE: Cross 20x",4c5a105231f06b2a7b047267689c5be3,2026-06-01T18:30:19+00:00,2026-06-01T18:41:11.494321+00:00,213,t.me/Cryptonus_Trade
287046,290251,"#RVNUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.00525 ....00494 (💰 6%)
⛔️ SL: 0.0057225
LEVERAGE: Cross 20x",1f7fcc33c9423cb9d0dd2465a100d721,2026-06-01T18:30:12+00:00,2026-06-01T18:41:11.805104+00:00,213,t.me/Cryptonus_Trade
287070,290250,"#APTUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.9477 👉... 0.8908 (💰 6%)
⛔️ SL: 1.032993
LEVERAGE: Cross 20x",fbde21156d65b69c576ec31e556bcf1e,2026-06-01T18:30:07+00:00,2026-06-01T18:41:12.256977+00:00,213,t.me/Cryptonus_Trade
287087,290246,"#WLDUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.4121 👉... 0.3874 (💰 6%)
⛔️ SL: 0.449189
LEVERAGE: Cross 20x",89bf9ae36cd8b71fb723cdb228540d0d,2026-06-01T18:15:07+00:00,2026-06-01T18:41:12.322479+00:00,213,t.me/Cryptonus_Trade
287071,290243,"#STGUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.3358 👉... 0.3157 (💰 6%)
⛔️ SL: 0.366022
LEVERAGE: Cross 20x",84947965161bf8b0e7f8017e53fb227e,2026-06-01T18:00:07+00:00,2026-06-01T18:41:12.258036+00:00,213,t.me/Cryptonus_Trade
287097,290242,"#JOEUSDT OPEN ENTRY2 0.04150
NEW TP
🎯 TP1 : 0.0395... TP2 : 0.03871 (💰 4.00%)
🎯 TP3 : 0.03791 (💰 6.00%)",8bd61b1c2e1460ba95d0b995115b4fed,2026-06-01T18:00:06+00:00,2026-06-01T18:41:12.422636+00:00,213,t.me/Cryptonus_Trade
287066,290240,"#IMXUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.1627 👉... 0.1529 (💰 6%)
⛔️ SL: 0.177343
LEVERAGE: Cross 20x",b7aa9cbdb1ea65aa6e3d400586b2116b,2026-06-01T17:45:19+00:00,2026-06-01T18:41:12.241489+00:00,213,t.me/Cryptonus_Trade
287060,290239,"#RUNEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.4163 ... 0.3913 (💰 6%)
⛔️ SL: 0.453767
LEVERAGE: Cross 20x",5b115e7658e3f50189c8714812c1b6a4,2026-06-01T17:45:19+00:00,2026-06-01T18:41:12.118468+00:00,213,t.me/Cryptonus_Trade
287081,290238,"#TRBUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 16.862 👉...: 15.85 (💰 6%)
⛔️ SL: 18.37958
LEVERAGE: Cross 20x",72ebb75dac97622ca91ca96c5053b7a3,2026-06-01T17:45:13+00:00,2026-06-01T18:41:12.308064+00:00,213,t.me/Cryptonus_Trade
287076,290237,"#RLCUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.4418 👉... 0.4153 (💰 6%)
⛔️ SL: 0.481562
LEVERAGE: Cross 20x",567196db780b734a36dcc371ed2b20d7,2026-06-01T17:45:12+00:00,2026-06-01T18:41:12.274367+00:00,213,t.me/Cryptonus_Trade
287074,290236,"#SEIUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.06924 ....06509 (💰 6%)
⛔️ SL: 0.0754716
LEVERAGE: Cross 20x",602ca973e15e5e69ceecf438fcd79802,2026-06-01T17:45:10+00:00,2026-06-01T18:41:12.270302+00:00,213,t.me/Cryptonus_Trade
287048,290235,"#WLDUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.4055 👉... 0.3812 (💰 6%)
⛔️ SL: 0.441995
LEVERAGE: Cross 20x",75f9135687666164999009647456001e,2026-06-01T17:45:06+00:00,2026-06-01T18:41:11.982475+00:00,213,t.me/Cryptonus_Trade
287072,290229,"#SNXUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.2908 👉... 0.2734 (💰 6%)
⛔️ SL: 0.316972
LEVERAGE: Cross 20x",7eac8ba460c1d2b7624f05b0ef016165,2026-06-01T17:30:33+00:00,2026-06-01T18:41:12.260366+00:00,213,t.me/Cryptonus_Trade
287068,290228,"#GMXUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 6.725 👉 ... : 6.322 (💰 6%)
⛔️ SL: 7.33025
LEVERAGE: Cross 20x",5212f0a7410f1fa970a448d3add56d1c,2026-06-01T17:30:24+00:00,2026-06-01T18:41:12.250343+00:00,213,t.me/Cryptonus_Trade
287056,290227,"#SFPUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.2906 👉... 0.2732 (💰 6%)
⛔️ SL: 0.316754
LEVERAGE: Cross 20x",5422f242dcc2be2fd7c65d81a18c83f3,2026-06-01T17:30:17+00:00,2026-06-01T18:41:12.078038+00:00,213,t.me/Cryptonus_Trade
287069,290226,"#HIGHUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.1294 ... 0.1216 (💰 6%)
⛔️ SL: 0.141046
LEVERAGE: Cross 20x",f87ec73e1179984d2c9c885bbc7acd40,2026-06-01T17:30:14+00:00,2026-06-01T18:41:12.254797+00:00,213,t.me/Cryptonus_Trade
287100,290225,"#FILUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.936 👉 ...3 : 0.88 (💰 6%)
⛔️ SL: 1.02024
LEVERAGE: Cross 20x",eb7246ea9b49e40f7ee759f71f448510,2026-06-01T17:30:08+00:00,2026-06-01T18:41:12.454183+00:00,213,t.me/Cryptonus_Trade
287089,290223,"#NEARUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 2.473 👉...: 2.3246 (💰 6%)
⛔️ SL: 2.69557
LEVERAGE: Cross 20x",d8c5b88642909de42a41f75b7f9fa5fe,2026-06-01T17:15:07+00:00,2026-06-01T18:41:12.332167+00:00,213,t.me/Cryptonus_Trade
287053,290219,"#IOTAUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.0586 ... 0.0551 (💰 6%)
⛔️ SL: 0.063874
LEVERAGE: Cross 20x",c5879ea0c24889d29b01c3b15d4ca3f0,2026-06-01T17:00:35+00:00,2026-06-01T18:41:12.032058+00:00,213,t.me/Cryptonus_Trade
287084,290218,"#JOEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.03915 ...0.0368 (💰 6%)
⛔️ SL: 0.0426735
LEVERAGE: Cross 20x",0a68b10bc255ac7d46bf849b513ba1dc,2026-06-01T17:00:30+00:00,2026-06-01T18:41:12.313440+00:00,213,t.me/Cryptonus_Trade
287052,290217,"#WOOUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.0169 👉...0.01589 (💰 6%)
⛔️ SL: 0.018421
LEVERAGE: Cross 20x",836f189053631d7c31deb16380e36975,2026-06-01T17:00:30+00:00,2026-06-01T18:41:12.008712+00:00,213,t.me/Cryptonus_Trade
287050,290216,"#PEOPLEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.006....00605 (💰 6%)
⛔️ SL: 0.0070196
LEVERAGE: Cross 20x",6a792c85431952c6e578642b77ed9b49,2026-06-01T17:00:26+00:00,2026-06-01T18:41:11.988912+00:00,213,t.me/Cryptonus_Trade
287057,290215,"#GMTUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.01046 ....00983 (💰 6%)
⛔️ SL: 0.0114014
LEVERAGE: Cross 20x",7672c33cdbe3296a801d9a26ae849b46,2026-06-01T17:00:23+00:00,2026-06-01T18:41:12.128609+00:00,213,t.me/Cryptonus_Trade
287062,290214,"#CHZUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.03462 ....03254 (💰 6%)
⛔️ SL: 0.0377358
LEVERAGE: Cross 20x",0ac9f85df855e59951cdd0bc35e84cb2,2026-06-01T17:00:14+00:00,2026-06-01T18:41:12.229693+00:00,213,t.me/Cryptonus_Trade
287102,290203,"#PENDLEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 1.386... 1.3034 (💰 6%)
⛔️ SL: 1.511394
LEVERAGE: Cross 20x",3df49f6ff9d6002772f0597fcbc727ea,2026-06-01T16:00:23+00:00,2026-06-01T18:41:12.563115+00:00,213,t.me/Cryptonus_Trade
287073,290201,"#HFTUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.01148 👉....01217 (💰 6%)
⛔️ SL: 0.0104468
LEVERAGE: Cross 20x",dcc82a1a9f3d2b4c290d3741ec1f6121,2026-06-01T15:30:17+00:00,2026-06-01T18:41:12.265661+00:00,213,t.me/Cryptonus_Trade
287106,290200,"#ETCUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 7.951 👉 E... : 8.428 (💰 6%)
⛔️ SL: 7.23541
LEVERAGE: Cross 20x",3d3601d33d998b71f542c6db5cba7332,2026-06-01T15:30:13+00:00,2026-06-01T18:41:12.608174+00:00,213,t.me/Cryptonus_Trade
287104,290198,"#ONEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.002039...01917 (💰 6%)
⛔️ SL: 0.00222251
LEVERAGE: Cross 20x",c3a7d2d1fc6a43390703c615ddf67915,2026-06-01T15:15:15+00:00,2026-06-01T18:41:12.564488+00:00,213,t.me/Cryptonus_Trade
287086,290197,"#ICPUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 2.841 👉 ... : 2.671 (💰 6%)
⛔️ SL: 3.09669
LEVERAGE: Cross 20x",56343dfb8afafac18e2768bc63e50694,2026-06-01T15:15:04+00:00,2026-06-01T18:41:12.321008+00:00,213,t.me/Cryptonus_Trade
287096,290195,"#XLMUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.24556 👉....26029 (💰 6%)
⛔️ SL: 0.2234596
LEVERAGE: Cross 20x",a2fa550fe52016e7c45318d2618ad5b5,2026-06-01T14:45:05+00:00,2026-06-01T18:41:12.411183+00:00,213,t.me/Cryptonus_Trade
287099,290194,"#YFIUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 2280 👉 EN...P3 : 2417 (💰 6%)
⛔️ SL: 2074.8
LEVERAGE: Cross 20x",23909a9a0726cc3b6e675140196a0913,2026-06-01T14:00:40+00:00,2026-06-01T18:41:12.441058+00:00,213,t.me/Cryptonus_Trade
287094,290193,"#RLCUSDT OPEN ENTRY2 0.4263
NEW TP
🎯 TP1 : 0.4487 ...
🎯 TP2 : 0.4575 (💰 4.00%)
🎯 TP3 : 0.4663 (💰 6.00%)",3fa309bff55696847e54b5d1dbdb2be0,2026-06-01T13:58:12+00:00,2026-06-01T18:41:12.375067+00:00,213,t.me/Cryptonus_Trade
287118,290192,"#BNBUSDT OPEN ENTRY2 680.03
NEW TP
🎯 TP1 : 715.77 ...
🎯 TP2 : 729.80 (💰 4.00%)
🎯 TP3 : 743.84 (💰 6.00%)",d80de0994af288bb4f4b17c21a0d24fe,2026-06-01T13:55:25+00:00,2026-06-01T18:41:13.727159+00:00,213,t.me/Cryptonus_Trade
