id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1557524,36886,"🔘 Coin : #SUPER/USDT 🔘

🔴 SHORT

🔺Entry🔻: 0.19651
... - 0.18078

♦️ StopLoss : 0.20388

🔱 Leverage: 25x",098b1c998e7b999cdb822a47ba72b970,2026-09-23T09:34:26+00:00,2026-09-23T10:10:56.933182+00:00,1229,american_crypto1
1557523,36885,"#CORE        /USDT (SHORT) 🔽🔽

⌛LEVERAGE : 20X TO ...9


💥Use only 1%margin of your total portfolio❤️😘😇",ac5e70c3c04575f27a98b47ec5311cc8,2026-09-23T09:34:26+00:00,2026-09-23T10:10:56.918561+00:00,1229,american_crypto1
1557522,36884,"🟢 Long

#BTC/USDT

Entry : 

1) 85868.60
2) 83292....3.31

🛑 Stop : 80458.87

Leverage : 10x (isolated)",3b1df33124cb838119310ac38167eb84,2026-09-23T09:34:26+00:00,2026-09-23T10:10:56.916820+00:00,1229,american_crypto1
1557521,36883,"👑My Coin: $PENGU/USDT
👀Looking for SHORT

🌟0.01081...I Will Set: 0.011199
°°°°°°°°°°°°°° As my stoploss",4d1e37576db0f7cec9df4aaf6523a84a,2026-09-23T09:34:26+00:00,2026-09-23T10:10:56.816983+00:00,1229,american_crypto1
1557520,36878,"🚀 LONG: $SUPER/USDT
LEVERAGE: 50x

✔️ENTRY PRICE: ...2030-0.2100-0.2280

STOP LOSS:  0.1850

REACTIONS?",f6e414607482bd661acacbbe73a35893,2026-09-23T09:34:25+00:00,2026-09-23T10:10:56.775670+00:00,1229,american_crypto1
1557519,36877,"Pair: #BCH/USDT

Short • (25X)

Entry
352.65

Targ...t your own risk. Always use proper risk management",f4df9feeb1df0e18d489a4410b3a28c3,2026-09-23T09:34:25+00:00,2026-09-23T10:10:56.745154+00:00,1229,american_crypto1
1557518,36876,"#TAKE        /USDT (SHORT) 🔽🔽

⌛LEVERAGE : 20X TO ...3


💥Use only 1%margin of your total portfolio❤️😘😇",81d518cafd29863155c352610dba5a37,2026-09-23T09:34:25+00:00,2026-09-23T10:10:56.733221+00:00,1229,american_crypto1
1557517,36875,"#TAKE  USDT — BUY (LONG) 
🎉
🟢 Leverage: Cross  25x...Stop Loss: 0.15000

🔽 Risk Management:

 REACTS !!",42e86a5b826eb0d6df8b8389c24a7b1f,2026-09-23T09:34:24+00:00,2026-09-23T10:10:56.719712+00:00,1229,american_crypto1
1557509,36867,"$BTC LONG🟢 (25x Lev) 

Entry -  86200$

Targets

1...00$
3)87300$

SL- 85850$

Scalp With Very Small SL",5fd554ea55b37cd2702266c6028ed42b,2026-09-23T09:03:47+00:00,2026-09-23T10:10:56.311509+00:00,1229,american_crypto1
1557508,36866,"✅ Long

#DOT/USDT

Entry zone : 1.141108 - 1.17640...87569
1.322685

Stop loss :1.094052

Leverage: 10x",73dda60e4702a617135e452b36ba5d90,2026-09-23T09:03:46+00:00,2026-09-23T10:10:56.297004+00:00,1229,american_crypto1
1557507,36865,"🪙#B2/USDT

🚩POSITION — SHORT

🔒  LEVERAGE — 20X75
...🥈: 0.4600
TP🥉: 0.4420

⛔️ SL: 0.5200

🔥REACTIONS?😜",50db07619e1363e33f5f4176c0dc7b3c,2026-09-23T09:03:46+00:00,2026-09-23T10:10:56.296396+00:00,1229,american_crypto1
1557506,36861,"#B2/USDT SHORT NOW 📉
🏠ENTRY: ( 0.4748 )",47294056161cef81830d11a71109aa50,2026-09-23T09:03:46+00:00,2026-09-23T10:10:56.136107+00:00,1229,american_crypto1
1557505,36860,"⭐️#PENGU/USDT  LONG 

🛡Leverage : Cross 25x50

‼️E...009973

Use only 3% - 5% amount of your portfolio🛍",f67f0bcf484c3de7902522390bffc2f1,2026-09-23T09:03:46+00:00,2026-09-23T10:10:56.130507+00:00,1229,american_crypto1
1557503,36858,"💰#TAKE / USDT👑

💎Setup Type: Strong LONG  🔖Opportu...TP ➝ 0.21500

4️⃣TP ➝ 0.25000

🚫Stop Loss: 0.14000",76033e2a16d503c2c89b22b38f26feb1,2026-09-23T09:03:45+00:00,2026-09-23T10:10:56.119743+00:00,1229,american_crypto1
1557412,36849,"✅ Long

Pair: #THETA/USDT

📊 Entry Price: 

1) 0.2...94
4) 0.2442

Stop Loss: 0.2141

Leverage: 10x-20x",93542362a72c34c8ae167f5312ea3ac3,2026-09-23T08:17:37+00:00,2026-09-23T10:10:43.546793+00:00,1229,american_crypto1
1557410,36850,"📊#BB/USDT–LONG–10x - 30x 🚀

📍 𝐄𝐧𝐭𝐫𝐲 𝐙𝐨𝐧𝐞:

➥ 0.010...tal.

⚠️ Disclaimer:
Trade at your own risk. DYOR.",299b3b027b9ba84cca06082165520c8e,2026-09-23T08:17:37+00:00,2026-09-23T10:10:43.541526+00:00,1229,american_crypto1
1557409,36848,"#B2/USDT

📈Signal: short Leverage: Cross 20X

⚡️En...even after TP1 is hit.

📣Trade Smart • Follow Risk",9050b18a82a7f5e5275c141058e5fa2a,2026-09-23T08:17:37+00:00,2026-09-23T10:10:43.444980+00:00,1229,american_crypto1
1557408,36844,"#MET/USDT 🟢 LONG

📍 Entry Zone: 0.34839 – 0.36261
...n: LONG

⚠️ Manage your risk and trade responsibly",d28d1c19e05b385c4bb64a32c3558f84,2026-09-23T08:17:36+00:00,2026-09-23T10:10:43.428889+00:00,1229,american_crypto1
1557407,36843,"🚨 #BCH/USDT | SHORT

⚡Leverage: Cross 20x

🎯Entry ... follow the signal and secure profits at targets.💎",46681e63e4ca2aeb6e1925c3d905bcea,2026-09-23T08:17:36+00:00,2026-09-23T10:10:43.355419+00:00,1229,american_crypto1
1557406,36842,"🚨 #ONE/USDT | SHORT

⚡Leverage: Cross 20x

🎯Entry ... follow the signal and secure profits at targets.💎",fbc603e7f82c075450efd83cf6f660bd,2026-09-23T08:17:36+00:00,2026-09-23T10:10:43.324577+00:00,1229,american_crypto1
