id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
288289,70443,"#LONG 🟢🔤🔤🔤🔤🔤

#BTC/USDT

Margin Mode : Isolated 💎
...50X

🇯🇵Premium 
@CryptoMonkJapan✅

Put Limit order",01cd12405442f25a95a8fbc8f1497f30,2026-06-01T13:24:28+00:00,2026-06-01T18:43:42.194760+00:00,155,t.me/CryptoMonk_Japan
288307,70414,"#SHORT 🔴 🔤🔤🔤🔤🔤

#BTC/USDT 

Margin Mode : Isolated... 100%

📊 LEV : 50X

🇯🇵 Premium 
@CryptoMonkJapan✅️",7bc71bf8186a02f3f39a6b4ce7a4042f,2026-06-01T04:59:01+00:00,2026-06-01T18:43:42.931246+00:00,155,t.me/CryptoMonk_Japan
296750,70553,"🚨 𝐁𝐓𝐂/𝐔𝐒𝐃𝐓 🚨

📥𝐓𝐑𝐀𝐃𝐄 - 𝐒𝐇𝐎𝐑𝐓⬇️

𝑭𝑼𝑳𝑳 𝑺𝑬𝑻𝑼𝑷 𝑫𝑬𝑻𝑨𝑰𝑳𝑺 𝑰𝑺 𝑯𝑬𝑹𝑬 !! 🚨⚠️🌝🌛",c360d688d03c8d43571592f689cd56ca,2026-06-03T18:54:01+00:00,2026-06-04T00:19:05.060389+00:00,155,t.me/CryptoMonk_Japan
296764,70549,"🚨 𝐁𝐓𝐂/𝐔𝐒𝐃𝐓 🚨

📥𝐓𝐑𝐀𝐃𝐄 - 𝐒𝐇𝐎𝐑𝐓⬇️

𝑭𝑼𝑳𝑳 𝑺𝑬𝑻𝑼𝑷 𝑫𝑬𝑻𝑨𝑰𝑳𝑺 𝑰𝑺 𝑯𝑬𝑹𝑬 !! 🚨⚠️🌛🌛",85e6cc3fc4fd87c6541d54218604de01,2026-06-03T18:19:32+00:00,2026-06-04T00:19:05.606006+00:00,155,t.me/CryptoMonk_Japan
296756,70541,"#LONG 🟢🔤🔤🔤🔤🔤

#CRO/USDT

Margin Mode : Isolated 💎
...100%   

📊 LEV : 20X

🇯🇵Premium 
@CryptoMonkJapan✅",1138dd32c765d5a378a646b07ac88364,2026-06-03T13:37:14+00:00,2026-06-04T00:19:05.489189+00:00,155,t.me/CryptoMonk_Japan
296762,70516,"#LONG 🟢🔤🔤🔤🔤🔤

#WLD/USDT

Margin Mode : Isolated 💎
...100%   

📊 LEV : 20X

🇯🇵Premium 
@CryptoMonkJapan✅",e65f30b9d41ff38469863b868c777229,2026-06-03T04:33:39+00:00,2026-06-04T00:19:05.599884+00:00,155,t.me/CryptoMonk_Japan
296759,70489,"#SHORT 🔴 🔤🔤🔤🔤🔤

#HYPE/USDT 

Margin Mode : Isolate... 100%

📊 LEV : 20X

🇯🇵 Premium 
@CryptoMonkJapan✅️",3f31134eeebb9041e4f06b3a012160c3,2026-06-02T13:03:52+00:00,2026-06-04T00:19:05.567987+00:00,155,t.me/CryptoMonk_Japan
296774,70470,"#SHORT 🔴 🔤🔤🔤🔤🔤

#VIC/USDT 

Margin Mode : Isolated... 100%

📊 LEV : 20X

🇯🇵 Premium 
@CryptoMonkJapan✅️",0342eed226abdc854d993409031ec8d1,2026-06-02T04:49:52+00:00,2026-06-04T00:19:05.695389+00:00,155,t.me/CryptoMonk_Japan
301060,70642,"🚨 𝐁𝐓𝐂/𝐔𝐒𝐃𝐓 🚨

📥𝐓𝐑𝐀𝐃𝐄 - 𝐒𝐇𝐎𝐑𝐓⬇️

𝑭𝑼𝑳𝑳 𝑺𝑬𝑻𝑼𝑷 𝑫𝑬𝑻𝑨𝑰𝑳𝑺 𝑰𝑺 𝑯𝑬𝑹𝑬 !! 🚨⚠️🌝🌛",c360d688d03c8d43571592f689cd56ca,2026-06-05T21:09:23+00:00,2026-06-06T00:14:32.402727+00:00,155,t.me/CryptoMonk_Japan
301057,70630,"#SPOT 🟢🔤🔤🔤🔤🔤🔤

#VIRTUAL/USDT

Signal Type : Positi...SL : 0.4440 - 100% 🙌

🇯🇵Premium 
@CryptoMonkJapan✅",d4779d911ce2446388c47252f61fe178,2026-06-05T12:54:21+00:00,2026-06-06T00:14:32.330861+00:00,155,t.me/CryptoMonk_Japan
301052,70607,"#SHORT 🔴 🔤🔤🔤🔤🔤

#HYPE/USDT 

Margin Mode : Isolate... 100%

📊 LEV : 20X

🇯🇵 Premium 
@CryptoMonkJapan✅️",8fc134a5c36574927abb7f76c9c4e174,2026-06-05T04:47:06+00:00,2026-06-06T00:14:32.249618+00:00,155,t.me/CryptoMonk_Japan
301059,70584,"#LONG 🟢🔤🔤🔤🔤🔤

#CHZ/USDT

Margin Mode : Isolated 💎
...100%   

📊 LEV : 20X

🇯🇵Premium 
@CryptoMonkJapan✅",f0fe73defe1084efd54ab97bce7c42a6,2026-06-04T13:12:45+00:00,2026-06-06T00:14:32.354422+00:00,155,t.me/CryptoMonk_Japan
